"","Title","Category","Href","ReplyNO","PopNO","Author","LastTime","LastUser"
"59","【問題】低端AD一問","6","C.php?bsn=17532&snA=622434&tnum=5","4","434","Lkyb","今日 17:16","lp3399088"
"60","【問題】台服的戰績資訊好少","6","C.php?bsn=17532&snA=622440&tnum=5","4","419","ci19970213","今日 17:13","JaxGodwind"
"61","【問題】目前台服大師跟菁英裡面；有誰爬積分是從頭到尾都單排的真正高手呢??","6","C.php?bsn=17532&snA=622423&tnum=11","10","1528","LONG2001","今日 17:13","lp3399088"
"62","【問題】伺服器爆了嗎?","6","C.php?bsn=17532&snA=622427&tnum=9","8","1160","zx19990308","今日 17:11","gogmaog"
"63","【問題】內建rp","6","C.php?bsn=17532&snA=622451&tnum=2","1","93","OKOKKO5510","今日 16:57","lp3399088"
"64","【問題】世界大賽晶球與傳承晶球","6","C.php?bsn=17532&snA=622444&tnum=2","1","439","sm82422","今日 16:55","lp3399088"
"65","【討論】請問舊版境時通","6","C.php?bsn=17532&snA=622445&tnum=3","2","251","peanutboy","今日 16:46","vickie3220"
"66","【心得】護盾型機器人SUP","16","C.php?bsn=17532&snA=622447&tnum=1","0","368","froglilibon","今日 16:33","froglilibon"
"67","【討論】大家喜歡打單雙排, 還是彈性積分","6","C.php?bsn=17532&snA=622443&tnum=5","4","277","HappyDS","今日 16:12","lover920920"
"68","【討論】大家一起幫RNG皇族加油，我們還沒被淘汰！","8","C.php?bsn=17532&snA=620847&tnum=36","35","13035","peanutboy","今日 16:01","zzqqoopp6"
"69","【情報】世界大賽限定海克斯晶球 輕鬆掌握榮耀","7","C.php?bsn=17532&snA=622377&tnum=2","1","1534","ready0204","今日 15:16","lp3399088"
"70","【問題】剛爬上去，多久不玩會降階?","6","C.php?bsn=17532&snA=622436&tnum=3","2","300","gba8862","今日 14:44","SaoAsuna"
"71","【閒聊】今天真的很衰小= =","6","C.php?bsn=17532&snA=622438&tnum=1","0","312","Div8493","今日 14:33","Div8493"
"72","【問題】Win7重灌字體變這樣..","6","C.php?bsn=17532&snA=622392&tnum=4","3","516","e2134943","今日 14:32","lp3399088"
"73","【問題】大家限定晶球抽到什麼東西","6","C.php?bsn=17532&snA=622013&tnum=22","21","5575","TN216263","今日 14:10","max39"
"74","【閒聊】來說說英雄強迫症","6","C.php?bsn=17532&snA=622380&tnum=62","61","3370","jason511616","今日 13:59","Moonyuisi"
"75","【情報】S8 季前更新：全部符文詳細數值！(更新至 10/18 PBE)","7","C.php?bsn=17532&snA=620009&tnum=22","21","17464","JaxGodwind","今日 13:30","ss5nsg43"
"76","【閒聊】LOL S7鳥巢總決賽門票最貴6500,還有周杰倫演唱","8","C.php?bsn=17532&snA=622365&tnum=9","8","2703","hikki2017yu","今日 13:16","qq69708563"
"77","【閒聊】貼吧神預測","8","C.php?bsn=17532&snA=622369&tnum=34","33","4900","s22950580","今日 12:30","rdkuarthur"
"78","【情報】免費英雄公布：2017 賽季第 51 週","7","C.php?bsn=17532&snA=622431&tnum=1","0","273","ready0204","今日 12:23","ready0204"
"79","【繪圖】露璐~戰鬥就緒~!!","9","C.php?bsn=17532&snA=622246&tnum=6","5","3714","yoyo0521","今日 11:54","kun12331933"
"80","【問題】S7積分日期 11/8號的半夜才結算？","6","C.php?bsn=17532&snA=622387&tnum=4","3","1248","king6266007","今日 11:53","FOUCK80556"
"81","【問題】高CP值二階綠跳AD","6","C.php?bsn=17532&snA=622372&tnum=10","9","2335","cbm2001597","今日 11:47","cs860329"
"82","【閒聊】《英雄聯盟》S7總決賽門票被炒翻27倍","8","C.php?bsn=17532&snA=622426&tnum=2","1","761","hikki2017yu","今日 11:43","b12513"
"83","【討論】超巨乳混分流索娜SUPPORT，混分上鑽石。","4","C.php?bsn=17532&snA=615268&tnum=114","113","39965","yurensama","今日 11:36","nelson1361"
"84","【情報】超狂連擊-使用五十次大絕","16","C.php?bsn=17532&snA=622422&tnum=8","7","1462","aszx12459","今日 11:25","hwangmax0726"
"85","【問題】rk疊場數的不合理之處","6","C.php?bsn=17532&snA=622307&tnum=23","22","2980","A46168A46168","今日 11:20","hwangmax0726"
"86","首篇已刪","6","C.php?bsn=17532&snA=622414&tnum=5","4","821","wai7l14klo","今日 11:08","s74327489"
"87","【問題】為何沒有TSM的比賽也有很多人喊TSM!TSM！","8","C.php?bsn=17532&snA=622410&tnum=5","4","1294","ml6762661","今日 10:57","b12513"
"88","【問題】台服遇到直接送 大家是否遇過呢","6","C.php?bsn=17532&snA=622417&tnum=8","7","768","s076465059s","今日 10:29","hkgusa"
"89","【情報】Vandiril 系列：53 魔防加里歐 vs 5 滿裝法師（101%減傷測試）","5","C.php?bsn=17532&snA=622421&tnum=2","1","1184","JaxGodwind","今日 10:23","lp3399088"
"90","【問題】中路杰西","6","C.php?bsn=17532&snA=622425&tnum=1","0","147","bahamut2939","今日 10:23","bahamut2939"
"91","【問題】SKT Blank已經替換成為首發打野","6","C.php?bsn=17532&snA=622395&tnum=7","6","2504","b12513","今日 09:29","a453014"
"92","【問題】有這種玩家","11","C.php?bsn=17532&snA=622306&tnum=16","15","3017","ejoy515253","今日 09:08","lp3399088"
"93","【問題】中路炸線時該不該跑線","6","C.php?bsn=17532&snA=622357&tnum=23","22","1541","as774200","今日 08:57","ivan4308"
"94","【問題】嘉文的出場率","6","C.php?bsn=17532&snA=622293&tnum=13","12","2525","win850808","今日 08:49","bayless"
"95","【問題】中路 路西恩 與 蛇女","6","C.php?bsn=17532&snA=622360&tnum=3","2","368","wahans81915","今日 08:45","bayless"
"96","【問題】上班族這季想靠彈性積分上金希望巴友能給點建議","6","C.php?bsn=17532&snA=622418&tnum=6","5","311","kisaki23","今日 08:27","xu3ej04u6"
"97","【閒聊】有人跟我一樣不在意世界賽嗎？","8","C.php?bsn=17532&snA=622420&tnum=1","0","368","Special05","今日 08:07","Special05"
"98","【閒聊】303場KDA4.6 74%勝率 大師塔隆精華","5","C.php?bsn=17532&snA=622324&tnum=3","2","825","JerryTo9912","今日 08:00","b22363039"
"99","【問題】被單殺兩次以上","6","C.php?bsn=17532&snA=622393&tnum=16","15","1378","gt5rgt5r","今日 07:38","A755419"
"100","【心得】SkyFlash李星回來啦!SkyFlash&Wind 李星配合犽宿的神奇妙用!","5","C.php?bsn=17532&snA=622338&tnum=2","1","1159","fax363777","今日 06:43","fax363777"
"101","【閒聊】今年的Uzi 能奪下S7世界冠軍嗎?","5","C.php?bsn=17532&snA=622319&tnum=13","12","4265","chun1031","今日 06:36","hwangmax0726"
"102","【心得】從這次世界賽看到殘酷的事實","8","C.php?bsn=17532&snA=622348&tnum=20","19","7566","a7795","今日 06:10","hwangmax0726"
"103","【問題】有專玩「慎」的玩家嗎？","6","C.php?bsn=17532&snA=615539&tnum=27","26","3666","nk760706","今日 05:49","bahn90173"
"104","【問題】NG隱分","6","C.php?bsn=17532&snA=622356&tnum=7","6","566","POIPOIQAZ","今日 05:42","a3577532004"
"105","【問題】請問大家出黃跳錢的時候","6","C.php?bsn=17532&snA=622397&tnum=10","9","613","b1203123","今日 04:39","kaman0810"
"106","【問題】好狂喔 遊戲更新後 開始遊戲 直接變   → 重新連接    有人跟我一樣嗎?","6","C.php?bsn=17532&snA=619272&tnum=11","10","1153","SaoAsuna","今日 02:02","kao94x52"
"107","【閒聊】新英雄預告","6","C.php?bsn=17532&snA=622036&tnum=32","31","10593","no25pikachu","今日 01:40","oh22912372"
"108","【問題】求大大推薦打野上分英雄 本人希望本季能上金","6","C.php?bsn=17532&snA=622183&tnum=49","48","3838","as233658404","今日 01:22","sheep5234"
"109","【小說】過去的鬼魂 16 索拉卡 更新10.24","9","C.php?bsn=17532&snA=618298&tnum=19","18","2035","ifom","今日 00:31","ifom"
"110","【約團集中串】ＶＩ ARAM 約團集中串 v02","15","C.php?bsn=17532&snA=578558&tnum=382","381","73867","bb851234","今日 00:14","plok00186750"
"111","【問題】世界賽的上路","8","C.php?bsn=17532&snA=622409&tnum=1","0","508","sweet27tw","昨日 23:41","sweet27tw"
"112","【問題】打電腦打到30等相關問題","6","C.php?bsn=17532&snA=622367&tnum=3","2","489","WanChiaHsin","昨日 23:22","WanChiaHsin"
"113","【問題】銀幕問題","6","C.php?bsn=17532&snA=622407&tnum=2","1","92","bird10516","昨日 23:18","azure1"
"114","【討論】吃野順序","6","C.php?bsn=17532&snA=622394&tnum=6","5","595","wahans81915","昨日 22:59","FaviouZritZ2"
"115","【攻略】天選之人QR CODE","6","C.php?bsn=17532&snA=621098&tnum=7","6","5082","unreal1030","昨日 22:00","zxcv32188"
"116","【心得】看到今天的C9就想到MSF","6","C.php?bsn=17532&snA=622322&tnum=5","4","1332","ray88tw","昨日 21:52","azure1"
"117","【問題】為什麼犽宿的重製最後取消了?","6","C.php?bsn=17532&snA=622250&tnum=41","40","8421","fox42189","昨日 21:48","azure1"
"118","【心得】控戰流","6","C.php?bsn=17532&snA=620020&tnum=24","23","4187","z7410852096z","昨日 21:25","z7410852096z"
"119","【問題】S8開放的藍色粉末商店","6","C.php?bsn=17532&snA=622381&tnum=5","4","1385","cow941203","昨日 21:24","azure1"
"120","【問題】積分相關詢問","6","C.php?bsn=17532&snA=622401&tnum=2","1","86","J0970886439","昨日 21:23","xu3ej04u6"
"121","【問題】積分相關詢問","6","C.php?bsn=17532&snA=622401&tnum=2","1","86","J0970886439","昨日 21:23","xu3ej04u6"
"122","【情報】2017全明星賽票選：如何投出你心目中的夢幻隊伍","7","C.php?bsn=17532&snA=622370&tnum=11","10","1310","ready0204","昨日 20:09","a456789112"
"123","【閒聊】英雄聯盟 玩家ID、戰績查詢系統(2017-10-23更新)","6","C.php?bsn=17532&snA=622389&tnum=1","0","381","be90728","昨日 18:45","be90728"
"124","【問題】結算後 出現這求解??","6","C.php?bsn=17532&snA=622384&tnum=3","2","598","a558877123","昨日 18:19","kojack9999"
"125","【問題】原來遊戲端正風氣是這樣(笑","6","C.php?bsn=17532&snA=622347&tnum=8","7","1596","benny890506","昨日 18:07","a32432255"
"126","【討論】閃電狼開心語錄回顧","8","C.php?bsn=17532&snA=621570&tnum=52","51","17406","stom069","昨日 17:55","dchou1015"
"127","【問題】專精的角色跟現實生活會有關聯嗎？","6","C.php?bsn=17532&snA=622030&tnum=133","132","8729","xu3ej04u6","昨日 17:48","mua812"
"128","【情報】3v3 對抗賽「Red Bull Trinity」10/24 熱血開打！","7","C.php?bsn=17532&snA=622379&tnum=1","0","247","ready0204","昨日 17:04","ready0204"
"129","【心得】3v3菁英第一教學-S7扭曲叢林解析By凜若冰心<10/23更新賽程表>","4","C.php?bsn=17532&snA=621390&tnum=19","18","4887","Ilovenina","昨日 16:22","Ilovenina"
"130","【情報】《英雄聯盟》大師兄 Doublelift：他們曾說我是毒瘤，但我這次是來贏的","6","C.php?bsn=17532&snA=619499&tnum=3","2","2009","schallschutz","昨日 15:51","s74327489"
"131","【情報】英雄預告：PBE 新增「疲倦」、「昏睡」效果","7","C.php?bsn=17532&snA=622257&tnum=20","19","13306","JaxGodwind","昨日 15:48","jeff480101"
"132","【心得】MMD穩定輸線？ 點評GAME2 FW vs MSF","6","C.php?bsn=17532&snA=622341&tnum=12","11","4739","canyou555","昨日 15:48","cx120005635"
"133","【情報】勝負神預測 普羅頭像與主題造型等你拿！","7","C.php?bsn=17532&snA=620025&tnum=59","58","21986","ready0204","昨日 15:38","gogmaog"
"134","【討論】Pokimane與富家子Redmercy雙排啦！全身照被曝露了？！","18","C.php?bsn=17532&snA=622326&tnum=6","5","2535","clsoulam","昨日 15:16","xu3ej04u6"
"135","【繪圖】畫張科加斯","9","C.php?bsn=17532&snA=622308&tnum=6","5","1983","a5016","昨日 14:47","C235QWE"
"136","【問題】天選之人捷運猜謎QR Code 有人有看到了嗎?","6","C.php?bsn=17532&snA=620344&tnum=32","31","24769","X740516","昨日 13:18","alexgor"
"137","【問題】特朗德出炙灼魔器!?","6","C.php?bsn=17532&snA=622167&tnum=7","6","3527","t8o3n2y5","昨日 12:52","hao123freddy"
"138","【討論】庫奇何時從前期角變成後期角？","6","C.php?bsn=17532&snA=622148&tnum=6","5","2018","ohmylove55","昨日 11:55","yz10ujaoe3"
"139","【情報】台港澳 Legion 菁英賽 現正開放報名！","7","C.php?bsn=17532&snA=622364&tnum=1","0","647","ready0204","昨日 11:40","ready0204"
"140","【問題】非韓隊伍是不是不太會用或應變\" 杰西\" 這套戰術阿?(影響四強冠亞)","8","C.php?bsn=17532&snA=622258&tnum=7","6","2532","dexter0305","昨日 11:39","yz10ujaoe3"
"141","【問題】世界大賽任務 壞掉了嗎? 10/21 官網公告","6","C.php?bsn=17532&snA=622252&tnum=11","10","2616","iq872222","昨日 11:12","cutepig5220"
"142","【問題】這次世界賽為什炮娘勝率那麼高?","8","C.php?bsn=17532&snA=622334&tnum=15","14","3662","D109424","昨日 11:08","a0958343901a"
"143","【問題】為什麼會被住，被住該怎麼處理?","6","C.php?bsn=17532&snA=622276&tnum=17","16","1615","ms033312166","昨日 10:30","king12123"
"144","【問題】玩露璐的時候大招常常放到自己……","6","C.php?bsn=17532&snA=622349&tnum=6","5","1090","b1203123","昨日 10:10","as159357"
"145","【問題】史瓦尼是不是有Bug?","6","C.php?bsn=17532&snA=622359&tnum=1","0","284","xu3ej04u6","昨日 10:01","xu3ej04u6"
"146","【心得】法洛士的W","6","C.php?bsn=17532&snA=622328&tnum=13","12","2608","johnvio","昨日 09:45","xu3ej04u6"
"147","【問題】為什麼世界賽都要B滑板鞋啊?","8","C.php?bsn=17532&snA=622330&tnum=21","20","5124","Special05","昨日 09:26","xu3ej04u6"
"148","【心得】笑死，大陸網友改的圖，五大幻神召喚(19/10 最後之更新，五大幻神全召喚)","8","C.php?bsn=17532&snA=621646&tnum=66","65","34684","andy2010294","昨日 09:03","tony0965121"
"149","【問題】各位中路玩家首選都選什麼角色？","6","C.php?bsn=17532&snA=621275&tnum=42","41","5512","e2225285","昨日 08:36","hn84858260"
"150","【情報】轉點優惠啟動 滿額再贈世界大賽代幣","7","C.php?bsn=17532&snA=622190&tnum=12","11","3454","ready0204","昨日 02:51","c190031"
